Date,NIFTY_50,ALKEM
2022-09-16,3057.295654296875,17530.849609375
2022-09-19,3123.08984375,17622.25
2022-09-20,3190.950927734375,17816.25
2022-09-21,3119.7255859375,17718.349609375
2022-09-22,3151.97412109375,17629.80078125
2022-09-23,3131.45263671875,17327.349609375
2022-09-26,3162.931884765625,17016.30078125
2022-09-27,3169.323486328125,17007.400390625
2022-09-28,3169.179443359375,16858.599609375
2022-09-29,3133.375,16818.099609375
2022-09-30,3150.051513671875,17094.349609375
2022-10-03,3143.995849609375,16887.349609375
2022-10-04,3172.9765625,17274.30078125
2022-10-06,3152.118408203125,17331.80078125
2022-10-07,3076.13525390625,17314.650390625
2022-10-10,3051.480712890625,17241.0
2022-10-11,3074.549072265625,16983.55078125
2022-10-12,3031.728271484375,17123.599609375
2022-10-13,3004.28564453125,17014.349609375
2022-10-14,2984.724853515625,17185.69921875
2022-10-17,3001.257568359375,17311.80078125
2022-10-18,2985.782470703125,17486.94921875
2022-10-19,2960.406494140625,17512.25
2022-10-20,2979.342041015625,17563.94921875
2022-10-21,2976.218505859375,17576.30078125
2022-10-24,2984.244384765625,17730.75
2022-10-25,3000.00830078125,17656.349609375
2022-10-27,2993.08740234375,17736.94921875
2022-10-28,2991.933837890625,17786.80078125
2022-10-31,3032.78466796875,18012.19921875
2022-11-01,3101.462646484375,18145.400390625
2022-11-02,3182.54052734375,18082.849609375
2022-11-03,3168.506591796875,18052.69921875
2022-11-04,3128.088623046875,18117.150390625
2022-11-07,3101.847412109375,18202.80078125
2022-11-09,3063.83203125,18157.0
2022-11-10,3052.681396484375,18028.19921875
2022-11-11,3050.3271484375,18349.69921875
2022-11-14,3024.22998046875,18329.150390625
2022-11-15,3008.7548828125,18403.400390625
2022-11-16,2983.667724609375,18409.650390625
2022-11-17,3009.3798828125,18343.900390625
2022-11-18,2997.94140625,18307.650390625
2022-11-21,2964.68408203125,18159.94921875
2022-11-22,2968.768798828125,18244.19921875
2022-11-23,3004.045166015625,18267.25
2022-11-24,2979.726806640625,18484.099609375
2022-11-25,2949.304443359375,18512.75
2022-11-28,2961.127197265625,18562.75
2022-11-29,3000.53662109375,18618.05078125
2022-11-30,3002.98779296875,18758.349609375
2022-12-01,3008.6591796875,18812.5
2022-12-02,2993.61572265625,18696.099609375
2022-12-05,2998.806396484375,18701.05078125
2022-12-06,2981.2646484375,18642.75
2022-12-07,2962.809326171875,18560.5
2022-12-08,2979.245849609375,18609.349609375
2022-12-09,3016.4443359375,18496.599609375
2022-12-12,2995.154296875,18497.150390625
2022-12-13,2983.571533203125,18608.0
2022-12-14,2978.62109375,18660.30078125
2022-12-15,2944.498779296875,18414.900390625
2022-12-16,2932.195068359375,18269.0
2022-12-19,2884.23095703125,18420.44921875
2022-12-20,2885.48095703125,18385.30078125
2022-12-21,2932.147216796875,18199.099609375
2022-12-22,2966.6064453125,18127.349609375
2022-12-23,2921.621826171875,17806.80078125
2022-12-26,2961.56005859375,18014.599609375
2022-12-27,2950.26611328125,18132.30078125
2022-12-28,2906.43505859375,18122.5
2022-12-29,2886.730224609375,18191.0
2022-12-30,2888.1240234375,18105.30078125
2023-01-02,2884.71142578125,18197.44921875
2023-01-03,2911.288818359375,18232.55078125
2023-01-04,2907.58837890625,18042.94921875
2023-01-05,2924.986083984375,17992.150390625
2023-01-06,2913.740478515625,17859.44921875
2023-01-09,2931.570068359375,18101.19921875
2023-01-10,2960.021728515625,17914.150390625
2023-01-11,2926.331787109375,17895.69921875
2023-01-12,2942.5283203125,17858.19921875
2023-01-13,2907.876708984375,17956.599609375
2023-01-16,2921.76611328125,17894.849609375
2023-01-17,2917.008056640625,18053.30078125
2023-01-18,2940.509765625,18165.349609375
2023-01-19,2915.47021484375,18107.849609375
2023-01-20,2914.74951171875,18027.650390625
2023-01-23,2928.110107421875,18118.55078125
2023-01-24,2892.49755859375,18118.30078125
2023-01-25,2903.022705078125,17891.94921875
2023-01-27,2884.279296875,17604.349609375
2023-01-30,2885.048095703125,17648.94921875
2023-01-31,2894.46826171875,17662.150390625
2023-02-01,2912.875,17616.30078125
2023-02-02,2956.70556640625,17610.400390625
2023-02-03,2932.8681640625,17854.05078125
2023-02-06,2949.2568359375,17764.599609375
2023-02-07,2950.4580078125,17721.5
2023-02-08,3057.391845703125,17871.69921875
2023-02-09,3105.115234375,17893.44921875
2023-02-10,3164.9501953125,17856.5
2023-02-13,3139.333984375,17770.900390625
2023-02-14,3153.031005859375,17929.849609375
2023-02-15,3185.279541015625,18015.849609375
2023-02-16,3179.320068359375,18035.849609375
2023-02-17,3173.774658203125,17944.19921875
2023-02-20,3187.4931640625,17844.599609375
2023-02-21,3167.644287109375,17826.69921875
2023-02-22,3187.833740234375,17554.30078125
2023-02-23,3186.9580078125,17511.25
2023-02-24,3208.21728515625,17465.80078125
2023-02-27,3184.136474609375,17392.69921875
2023-02-28,3089.174560546875,17303.94921875
2023-03-01,3034.88330078125,17450.900390625
2023-03-02,3041.98583984375,17321.900390625
2023-03-03,3073.8017578125,17594.349609375
2023-03-06,3072.09912109375,17711.44921875
2023-03-08,3056.580078125,17754.400390625
2023-03-09,3078.277099609375,17589.599609375
2023-03-10,3060.812744140625,17412.900390625
2023-03-13,2983.753662109375,17154.30078125
2023-03-14,3003.35888671875,17043.30078125
2023-03-15,2996.596923828125,16972.150390625
2023-03-16,3069.763916015625,16985.599609375
2023-03-17,3029.093994140625,17100.05078125
2023-03-20,3030.991455078125,16988.400390625
2023-03-21,3032.353271484375,17107.5
2023-03-22,3126.342041015625,17151.900390625
2023-03-23,3064.607177734375,17076.900390625
2023-03-24,3068.4990234375,16945.05078125
2023-03-27,3140.693359375,16985.69921875
2023-03-28,3153.1962890625,16951.69921875
2023-03-29,3211.087890625,17080.69921875
2023-03-31,3304.298095703125,17359.75
2023-04-03,3307.89794921875,17398.05078125
2023-04-05,3316.65478515625,17557.05078125
2023-04-06,3313.58984375,17599.150390625
2023-04-10,3281.384765625,17624.05078125
2023-04-11,3241.4931640625,17722.30078125
2023-04-12,3250.298583984375,17812.400390625
2023-04-13,3254.62841796875,17828.0
2023-04-17,3242.271484375,17706.849609375
2023-04-18,3275.8388671875,17660.150390625
2023-04-19,3251.368408203125,17618.75
2023-04-20,3265.184814453125,17624.44921875
2023-04-21,3316.849365234375,17624.05078125
2023-04-24,3336.114013671875,17743.400390625
2023-04-25,3328.962890625,17769.25
2023-04-26,3334.217041015625,17813.599609375
2023-04-27,3342.633056640625,17915.05078125
2023-04-28,3415.02197265625,18065.0
2023-05-02,3423.3408203125,18147.650390625
2023-05-03,3422.07568359375,18089.849609375
2023-05-04,3386.17333984375,18255.80078125
2023-05-05,3372.1142578125,18069.0
2023-05-08,3418.330078125,18264.400390625
2023-05-09,3520.24853515625,18265.94921875
2023-05-10,3488.9189453125,18315.099609375
2023-05-11,3403.10302734375,18297.0
2023-05-12,3316.65478515625,18314.80078125
2023-05-15,3333.04931640625,18398.849609375
2023-05-16,3321.373779296875,18286.5
2023-05-17,3292.4765625,18181.75
2023-05-18,3236.385009765625,18129.94921875
2023-05-19,3212.83935546875,18203.400390625
2023-05-22,3164.336669921875,18314.400390625
2023-05-23,3169.833740234375,18348.0
2023-05-24,3220.623046875,18285.400390625
2023-05-25,3234.535888671875,18321.150390625
2023-05-26,3255.40625,18499.349609375
2023-05-29,3257.936279296875,18598.650390625
2023-05-30,3267.908935546875,18633.849609375
2023-05-31,3268.784912109375,18534.400390625
2023-06-01,3288.97412109375,18487.75
2023-06-02,3272.822509765625,18534.099609375
2023-06-05,3303.908935546875,18593.849609375
2023-06-06,3297.1953125,18599.0
2023-06-07,3315.487548828125,18726.400390625
2023-06-08,3349.00634765625,18634.55078125
2023-06-09,3322.20068359375,18563.400390625
2023-06-12,3257.011962890625,18601.5
2023-06-13,3297.827880859375,18716.150390625
2023-06-14,3281.6767578125,18755.900390625
2023-06-15,3302.6435546875,18688.099609375
